X0,X1,X2,X3,X4,X5,X6,X7,X8,X9
-2.691,-1.9591,-2.5524,-1.2559,-1.3396,2.1017,-1.059,-0.9859,-2.148,-1.7483
-1.6974,3.1993,0.0432,-0.94342,-4.3722,-0.64649,-0.85583,-1.9783,-0.84755,1.5025
0.90524,4.1957,1.3628,-0.89663,-1.2738,-1.525,0.20156,0.20549,-0.33146,2.6398
3.1295,3.0196,0.0081491,-1.1246,-0.12531,-1.2988,-0.68475,0.48168,-0.57447,-1.6925
2.222,-2.7858,-0.72128,-0.59846,4.8719,-0.99925,-0.28203,-1.2209,-0.35563,-3.0108
-1.8315,-4.7992,-1.1925,-0.24231,3.0031,0.29482,0.17166,0.3122,0.51694,-2.8121
-2.3048,-2.9819,-1.9719,-0.30714,-2.1701,2.2917,-0.10557,3.8764,1.7886,0.4184
3.7553,-1.0921,1.2365,0.23748,-0.089189,1.7837,0.69478,4.1361,1.6557,1.61
5.0691,0.9802,1.154,1.3238,4.8175,-1.842,3.164,-0.62931,0.44604,0.36888
-1.7926,-1.0408,0.20823,-0.15168,3.9693,2.6991,1.0565,2.7581,1.9408,1.0582
-4.58,-0.48571,1.3992,0.38883,-0.72134,4.4985,1.3258,0.56888,4.2709,3.5295
-2.2121,0.28409,-0.10861,1.1151,-1.8164,-1.5199,0.44287,-0.68373,-0.40037,1.9487
2.7209,2.5321,1.6636,2.4687,-1.5792,-2.5715,0.28026,-0.76202,-2.3219,-2.4111
4.0795,1.1014,1.4248,2.7444,2.8149,-1.9592,-0.72667,1.5216,-2.3011,-1.0743
-0.12829,-2.4686,-0.62243,4.7347,1.0681,-3.8173,-0.7047,-2.4226,-0.31544,2.1071
-1.6176,-0.12388,2.1676,2.264,-1.9579,-1.3205,-2.3489,-4.5018,0.4877,3.5488
3.1571,2.5072,0.43264,1.2752,-0.97628,0.44501,1.3219,-0.99559,1.6602,3.2052
0.040989,-1.1094,0.90039,-1.3463,-2.5338,-1.2609,-1.3688,3.584,2.0542,1.2022
-1.9704,-0.90291,-1.3563,-1.3816,-2.7953,-1.072,0.58161,1.0214,0.42058,-0.091203
-4.3968,-2.6914,-0.27158,-3.1073,-0.75215,0.05884,2.4391,-2.239,2.4544,-3.4407
1.482,1.9475,-0.96796,-0.7413,0.038162,-0.67868,-0.0397,-1.5834,-0.33637,-1.4339
2.9706,2.0843,1.0244,1.3582,2.8864,0.91336,0.077777,0.12693,-1.5986,0.64506
-2.2978,-1.6417,-1.6806,-1.0295,-1.2695,1.9827,0.83835,-3.0356,-0.027803,-0.50108
-4.8741,-1.9525,1.7341,1.9354,-0.74988,1.7237,-0.38611,-3.432,-1.5621,-1.121
-1.912,-0.60956,2.1115,3.9045,0.55679,3.0049,-1.4362,-0.62689,-3.1985,-0.55183
4.0808,3.0888,0.35446,-0.2981,1.4958,1.9985,-2.0571,1.5399,-1.7078,0.85344
-2.6014,0.65751,-1.8129,-2.1899,0.35863,2.7677,-0.11511,1.7143,-2.1979,-1.046
-1.6823,1.056,-2.4056,-5.0671,1.7083,-2.1362,-1.025,-2.6907,-2.0956,-4.3819
2.5011,1.7779,0.19866,-4.9764,-2.2995,-1.3389,-0.3618,-1.3506,-0.71592,-3.2913
5.3618,5.5071,3.677,0.80285,0.30833,1.3596,0.66395,2.1153,-0.76266,-1.2623
4.2298,5.1355,2.2117,1.2221,-1.1276,1.6597,-2.0674,0.21038,-1.1039,-0.90007
-1.4446,-1.21,0.47404,-0.74055,0.41911,-5.2321,-1.628,-0.043511,-2.113,-2.878
-3.9306,-5.1732,-1.0827,-1.0856,-2.5636,-0.45615,-3.0399,-1.1509,-0.90955,-2.4386
-5.1181,-4.1443,-4.8006,0.44734,-1.9787,1.4028,0.09771,-1.8999,-0.52792,-0.25278
-3.6158,-1.5452,-2.15,-0.38309,2.0122,-0.97541,-0.94718,-0.17774,-0.24049,-1.4664
-1.7447,-1.669,0.28935,0.81788,-0.42065,-1.0871,-0.14478,0.8565,0.035158,-1.6036
-0.82178,-1.2509,-2.5665,-3.118,-2.6741,1.2228,2.1294,3.8279,3.0462,0.14124
-0.16882,-1.569,-2.0305,-3.0338,-0.1849,2.9196,0.88224,3.4279,3.3106,2.9801
0.65453,-0.85192,-2.3256,-1.8084,-0.3303,1.1735,2.416,-0.23766,1.2228,4.023
0.66314,-1.9789,-1.2055,-0.10741,-0.69547,-3.1771,2.158,-3.0403,0.78585,1.2447
1.9305,1.388,1.7944,3.5615,1.3255,-1.9644,-1.5963,-0.8655,5.1418,-0.35119
0.63244,3.3491,2.908,4.8111,3.7715,-1.0834,1.706,2.4101,3.2141,2.9576
0.24024,0.59749,0.65276,4.0388,0.52432,-0.63173,2.0331,1.8016,-1.7547,-2.0638
-0.019892,0.94294,-2.6451,0.27483,0.26333,-1.1728,-0.59941,-2.5925,-2.0141,-0.58468
0.61825,2.7292,-0.85993,1.696,0.44172,0.76243,2.5791,2.1846,-1.7716,1.4429
0.31502,-1.8448,5.6456,-0.082384,0.2923,-0.0029543,2.6476,3.6216,1.7366,0.98357
0.010511,-1.9477,-0.29249,-4.1096,-2.4838,-1.5482,1.3879,0.020829,0.49771,-0.34241
2.6022,1.2572,-2.1934,-2.9946,0.24517,0.4177,-0.23736,1.6564,-0.51768,0.42972
4.8005,1.3956,-1.2792,0.086402,2.5545,-0.68011,-1.7859,0.47235,0.58602,1.3158
4.1774,2.5078,0.064123,-1.1074,0.28649,1.3919,-0.75189,2.8573,3.1304,1.4095
0.22489,0.89344,-0.81684,-1.064,1.1085,0.12685,-1.309,-1.1476,3.0259,2.7457
1.5856,-0.15109,-0.34832,-3.951,3.7069,3.6373,1.4191,-1.7328,1.894,3.5259
-1.1375,-0.73156,0.22276,-2.3894,1.285,0.21853,0.77829,-2.0596,-1.6043,-0.26655
-1.4676,-0.37248,-1.6278,3.1286,-0.74438,0.94828,-2.7749,0.048031,-4.9078,-0.54379
0.11587,-1.0635,2.6301,2.427,-3.2647,4.15,-0.97251,-0.98872,-3.0632,2.2788
-1.4967,2.9112,0.49069,-1.1556,-3.0489,2.8123,-1.343,1.5727,-0.028369,2.9029
-2.7315,2.5126,-1.3039,2.3906,-0.71368,-0.76634,-0.22683,-2.5909,-1.8106,-1.6361
0.72353,1.4637,-0.39346,1.7786,1.04,-3.3603,-1.9849,-0.12587,2.4449,0.35142
-0.6795,5.0131,-0.0065585,-0.67352,-0.53267,-0.31749,-3.1602,-0.073893,-0.094923,-1.5946
0.67206,2.3936,1.8675,-3.0592,-0.9969,-0.81086,0.27802,-1.1215,-1.684,-0.48551
2.8217,-0.13398,2.0609,-0.80282,0.88415,-1.448,-1.923,-0.80703,-2.769,0.32498
1.2141,-1.3349,-0.14256,2.9111,0.68202,-1.0376,-2.2363,-0.50723,-0.50566,-0.91701
-1.8976,-6.967,-0.13787,1.8274,-1.9341,-2.258,0.1952,2.0815,-0.18804,-0.21277
-0.092587,-5.6724,-0.94361,-3.3932,1.971,0.93288,-1.7852,-0.64596,-1.3589,-1.6114
1.4691,-2.8507,0.24062,-1.9946,-0.28236,2.6513,4.0769,3.3789,2.8457,1.7833
-0.5776,0.29201,2.7092,-0.56386,-2.0848,1.5685,3.7795,1.4821,0.3822,2.3006
0.10993,0.54608,2.4911,-0.13126,1.8044,3.4151,0.59367,-0.18008,-0.56299,3.4231
-3.2567,-3.2438,2.3052,2.8336,0.73169,-1.5732,1.9693,-1.9108,0.30068,-0.5538
-1.7366,-2.6904,-0.96391,-0.70882,-2.317,-5.7522,1.4456,-0.91134,-0.22497,-3.6498
-0.90824,2.1347,1.0786,-0.70737,2.1695,-2.0264,0.62389,0.57695,-1.4242,-3.7968
-2.178,2.2969,-1.1405,1.0393,-1.1893,0.096595,-1.0019,-0.29322,2.474,0.54269
0.77161,-2.6855,-2.3762,2.7311,-1.7239,2.2336,-0.55269,0.83857,0.16662,3.1391
-0.64726,-2.6248,-0.13031,4.7809,0.4466,0.61032,0.20679,-1.4462,-1.5457,2.0781
-0.12308,-2.0332,-0.72799,3.9331,2.5683,0.50512,1.5296,0.31712,-0.45343,-2.2432
-0.67331,-1.5949,1.4196,2.4902,-0.73418,0.16977,0.68373,0.095896,-0.24873,-1.8024
3.9614,1.2576,1.0399,0.62277,-2.0464,-3.2108,-2.8798,-0.65666,-1.2337,-2.9061
5.6447,3.6872,3.6913,-2.019,2.1975,-4.1571,-1.6076,-0.16201,0.15589,2.3015
-1.1888,1.3853,4.8819,1.1159,-0.85261,0.52374,1.7576,2.6605,2.5155,-0.42688
-3.9754,-1.2396,1.6175,-0.66195,2.5721,-0.020493,0.7093,-0.75385,0.1817,-1.4112
-2.5824,3.0254,1.2165,1.5067,1.0868,-2.1526,0.29454,1.6254,3.0416,-5.2687
4.0915,4.0125,0.65893,-1.3862,4.052,0.22776,-0.20206,0.10522,-1.3568,-4.0624
1.0668,2.3408,-3.1283,-2.9877,-2.2314,-2.8604,-1.1061,-2.4333,0.07102,0.24565
-3.5924,1.7818,-2.9824,-2.0079,-3.4373,-0.50436,-2.4268,-0.92021,1.6245,1.8909
-0.43037,-4.2523,-5.863,-1.7886,0.66852,1.036,-2.874,1.8595,0.26494,-1.9371
-1.3034,-2.9876,-5.4544,-2.0008,-1.6208,0.089288,-0.39348,-2.7139,1.9276,-1.8125
1.8905,0.62826,-2.5357,0.34468,0.50306,0.18139,-0.52201,-2.7015,1.6365,0.33431
2.2881,-0.18142,-1.9685,3.3958,0.7603,0.31415,0.3929,-2.2571,-2.3645,-1.1381
-0.68253,-0.62881,-1.0383,3.445,0.18514,1.2494,1.0107,-0.77667,0.16666,-1.026
-4.587,-1.6273,2.9159,2.9851,5.5955,3.0626,0.20489,1.0047,2.2675,-0.41683
-0.18379,0.14411,1.4745,2.4171,3.3155,-0.31945,-0.0058396,1.4878,-2.8954,0.43032
-0.11244,3.145,-0.91083,-1.1175,-0.82626,1.5386,1.4459,0.79058,-1.0352,2.3697
3.4292,4.1714,-0.044254,-2.3574,-3.1076,2.9713,1.9004,5.3741,1.9966,3.5104
4.3829,2.9409,0.2458,-3.3377,0.32023,4.6217,2.5515,4.3302,2.2118,2.0596
-0.24612,-2.0367,-1.5876,-4.6265,0.75145,-2.0502,-0.24584,-4.0802,-0.43193,-1.8831
-4.743,-6.5264,-2.5424,-3.4275,-3.7838,2.0613,-0.33891,-5.9879,0.96886,-1.3135
-3.4357,-3.6068,-1.2652,-3.0649,-4.0144,2.5218,1.4816,-2.5024,2.4748,1.0029
-0.95729,-0.83213,-0.25359,-0.24926,-4.7071,-0.66943,-0.98144,1.815,-2.2933,0.70559
0.51686,-2.4874,1.5275,-1.2179,-2.8453,-0.25548,-0.33226,4.0903,-2.9807,-0.16625
1.3977,-1.5065,0.88155,1.1768,-1.9661,0.24256,0.049755,-2.3685,-0.39885,0.18451
0.31726,1.2158,0.55082,-1.2543,4.2269,-0.62771,-0.1258,-2.3474,-3.2463,-0.1422
0.1496,1.6988,1.9005,0.52756,4.0521,-0.43849,1.2031,0.15348,-3.3201,-1.8579
